,Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
0,Person search,2020-01-01T03:55:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
1,Person search,2020-01-01T04:18:00+00:00,False,,51.725023,-0.302372,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False
2,Person search,2020-01-01T07:15:28+00:00,False,,,,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
3,Vehicle search,2020-01-01T15:32:18+00:00,False,,52.048457,-0.025856,,,,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,False
4,Person search,2020-01-01T19:49:00+00:00,True,,,,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
5,Person and Vehicle search,2020-01-01T21:20:00+00:00,False,,,,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
6,Person search,2020-01-01T22:20:00+00:00,False,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
7,Person and Vehicle search,2020-01-01T22:20:00+00:00,False,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
8,Person search,2020-01-02T13:00:00+00:00,False,,51.750448999999996,-0.31085,Male,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
9,Person search,2020-01-02T15:07:00+00:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
10,Person search,2020-01-02T15:30:00+00:00,False,,51.691857,-0.0303,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
11,Person search,2020-01-02T15:30:00+00:00,False,,,,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
12,Person search,2020-01-02T15:35:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False
13,Person search,2020-01-02T15:45:00+00:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
14,Person search,2020-01-02T15:45:00+00:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
15,Person search,2020-01-02T15:45:00+00:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
16,Person search,2020-01-02T15:45:00+00:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
17,Vehicle search,2020-01-02T15:50:00+00:00,False,,51.691857,-0.0303,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
18,Person search,2020-01-02T18:15:00+00:00,False,,51.751,-0.325491,Male,,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
19,Person search,2020-01-02T19:11:26+00:00,False,,51.80849,-0.027727999999999996,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
20,Person search,2020-01-02T21:20:00+00:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
21,Person search,2020-01-02T21:23:34+00:00,False,,,,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
22,Person search,2020-01-02T21:30:44+00:00,False,,,,Male,,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
23,Person search,2020-01-02T21:33:15+00:00,False,,,,Male,,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
24,Person search,2020-01-02T21:35:19+00:00,False,,,,Male,,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
25,Person search,2020-01-02T23:00:00+00:00,False,,51.645974,-0.379416,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
26,Vehicle search,2020-01-02T23:35:00+00:00,False,,51.740863,-0.473138,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
27,Person search,2020-01-03T00:15:00+00:00,False,,51.656903,-0.398009,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,,False
28,Person search,2020-01-03T00:34:59+00:00,False,,51.656903,-0.398009,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,,False
29,Person search,2020-01-03T02:00:00+00:00,False,,51.683541999999996,-0.43099,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
30,Person and Vehicle search,2020-01-03T02:00:00+00:00,False,,51.683541999999996,-0.43099,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
31,Person search,2020-01-03T02:26:56+00:00,False,,51.656903,-0.398009,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
32,Person search,2020-01-03T02:26:56+00:00,False,,51.656903,-0.398009,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
33,Person search,2020-01-03T03:45:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
34,Person and Vehicle search,2020-01-03T03:45:00+00:00,False,,51.756676,-0.45161,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
35,Person search,2020-01-03T12:20:00+00:00,False,,51.770571999999994,-0.001307,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
36,Person and Vehicle search,2020-01-03T12:20:00+00:00,False,,51.770571999999994,-0.001307,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
37,Person search,2020-01-03T15:20:00+00:00,False,,51.656815,-0.27437399999999995,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
38,Person search,2020-01-03T15:30:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
39,Person search,2020-01-03T15:30:00+00:00,False,,51.628842,-0.386456,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
40,Person search,2020-01-03T15:52:00+00:00,False,,51.691857,-0.0303,Female,25-34,Other ethnic group - Any other ethnic group,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
41,Person search,2020-01-03T17:00:00+00:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False
42,Person search,2020-01-03T18:09:00+00:00,False,,51.754327,-0.329279,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
43,Person and Vehicle search,2020-01-03T20:40:00+00:00,False,,51.541216,-0.24386599999999997,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,False,False
44,Person search,2020-01-03T21:25:00+00:00,False,,51.986925,-0.185765,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False
45,Person search,2020-01-03T21:44:41+00:00,False,,,,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
46,Person search,2020-01-03T23:00:00+00:00,False,,,,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False
47,Person search,2020-01-03T23:00:00+00:00,False,,,,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,False,False
48,Person search,2020-01-03T23:00:00+00:00,False,,,,Male,10-17,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
49,Person search,2020-01-03T23:42:35+00:00,False,,51.75895,-0.47209300000000004,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
50,Vehicle search,2020-01-03T23:50:00+00:00,False,,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
51,Person and Vehicle search,2020-01-04T01:15:00+00:00,False,,51.758309999999994,-0.011006,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
52,Person search,2020-01-04T01:55:00+00:00,False,,51.900546000000006,-0.197256,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
53,Person search,2020-01-04T12:39:00+00:00,False,,51.811554,-0.032977,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False
54,Person and Vehicle search,2020-01-04T14:10:00+00:00,False,,51.896334,-0.20938600000000002,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,False,False
55,Person and Vehicle search,2020-01-04T14:30:00+00:00,False,,51.640791,-0.399444,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False
56,Person and Vehicle search,2020-01-04T14:30:00+00:00,False,,51.640791,-0.399444,Male,10-17,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
57,Person search,2020-01-04T14:40:00+00:00,False,,51.907663,-0.196375,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
58,Person search,2020-01-04T14:40:00+00:00,False,,51.907663,-0.196375,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
59,Person search,2020-01-04T14:40:00+00:00,False,,51.907663,-0.196375,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
60,Person search,2020-01-04T14:40:00+00:00,False,,51.907663,-0.196375,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
61,Person search,2020-01-04T16:14:00+00:00,True,,51.791712,-0.19519,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,,False
62,Person and Vehicle search,2020-01-04T16:15:00+00:00,False,,51.622318,-0.383466,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
63,Person search,2020-01-04T16:15:00+00:00,False,,51.622318,-0.383466,Male,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
64,Person search,2020-01-04T17:20:00+00:00,False,,51.755361,-0.499221,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
65,Person search,2020-01-04T18:24:41+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
66,Person search,2020-01-04T18:40:00+00:00,False,,51.751587,-0.32571500000000003,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
67,Person search,2020-01-04T18:40:00+00:00,False,,51.751587,-0.32571500000000003,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
68,Person search,2020-01-04T18:40:00+00:00,False,,51.751587,-0.32571500000000003,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
69,Person search,2020-01-04T21:10:00+00:00,False,,,,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
70,Person and Vehicle search,2020-01-04T21:11:00+00:00,False,,51.777651,-0.6013270000000001,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
71,Person and Vehicle search,2020-01-04T21:15:00+00:00,False,,51.777651,-0.6013270000000001,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
72,Person and Vehicle search,2020-01-04T21:21:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
73,Person search,2020-01-04T21:21:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
74,Person search,2020-01-04T22:30:00+00:00,False,,51.769384,-0.228256,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
75,Person search,2020-01-04T22:30:00+00:00,False,,51.769384,-0.228256,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
76,Person and Vehicle search,2020-01-04T22:30:00+00:00,False,,51.769384,-0.228256,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
77,Person search,2020-01-04T22:30:00+00:00,False,,51.658412,-0.399213,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
78,Person search,2020-01-04T22:40:00+00:00,False,,51.658412,-0.399213,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
79,Person search,2020-01-04T23:24:00+00:00,False,,51.686603999999996,-0.404035,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
80,Vehicle search,2020-01-04T23:30:00+00:00,False,,51.944520000000004,-0.27676799999999996,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
81,Person search,2020-01-04T23:30:00+00:00,False,,51.944520000000004,-0.27676799999999996,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
82,Person search,2020-01-04T23:30:00+00:00,False,,51.944520000000004,-0.27676799999999996,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
83,Person search,2020-01-04T23:30:00+00:00,False,,51.944520000000004,-0.27676799999999996,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
84,Person search,2020-01-05T00:09:00+00:00,False,,51.687160999999996,-0.403972,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
85,Person and Vehicle search,2020-01-05T00:20:00+00:00,False,,51.662504,-0.37767,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
86,Person and Vehicle search,2020-01-05T01:00:00+00:00,False,,51.731248,-0.45232,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
87,Person search,2020-01-05T02:00:00+00:00,False,,51.772953,-0.449647,Male,25-34,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,True
88,Person and Vehicle search,2020-01-05T02:00:00+00:00,False,,51.772953,-0.449647,Male,18-24,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,True
89,Person search,2020-01-05T02:10:00+00:00,True,,51.796572,-0.077499,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
90,Person and Vehicle search,2020-01-05T02:46:00+00:00,False,,,,Female,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,True
91,Person and Vehicle search,2020-01-05T02:46:00+00:00,False,,,,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,True
92,Person search,2020-01-05T03:12:00+00:00,False,,51.648183,-0.486993,Male,over 34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
93,Person search,2020-01-05T08:45:57+00:00,False,,51.907663,-0.196375,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
94,Vehicle search,2020-01-05T13:30:00+00:00,False,,51.664669,-0.364564,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
95,Person search,2020-01-05T13:30:00+00:00,False,,51.664669,-0.364564,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
96,Vehicle search,2020-01-05T13:50:00+00:00,False,,51.664669,-0.364564,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
97,Person and Vehicle search,2020-01-05T14:15:00+00:00,False,,51.709467,-0.049307,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
98,Person search,2020-01-05T14:30:00+00:00,False,,51.771782,-0.44133900000000004,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
99,Person search,2020-01-05T16:03:00+00:00,False,,52.027514000000004,-0.109168,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
100,Person search,2020-01-05T16:05:00+00:00,False,,52.027514000000004,-0.109168,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
101,Person search,2020-01-05T17:50:00+00:00,False,,51.684021,-0.407163,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
102,Person search,2020-01-05T18:31:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
103,Person search,2020-01-05T18:40:00+00:00,False,,51.710155,-0.040375,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
104,Person search,2020-01-05T19:00:00+00:00,False,,51.801772,-0.191554,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
105,Person search,2020-01-05T19:00:00+00:00,False,,51.801772,-0.191554,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
106,Person search,2020-01-05T19:00:00+00:00,False,,51.801772,-0.191554,Male,25-34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
107,Person search,2020-01-05T19:25:00+00:00,False,,51.641713,-0.304329,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
108,Person search,2020-01-05T20:06:58+00:00,False,,51.710155,-0.040375,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
109,Person search,2020-01-05T21:52:00+00:00,False,,51.655384999999995,-0.39619699999999997,Male,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
110,Person search,2020-01-05T23:03:51+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
111,Person search,2020-01-05T23:20:00+00:00,False,,51.699096999999995,-0.37406100000000003,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False
112,Person search,2020-01-05T23:30:00+00:00,False,,51.699096999999995,-0.37406100000000003,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
113,Person search,2020-01-06T00:05:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False
114,Person search,2020-01-06T00:15:00+00:00,False,,51.763102,-0.44721700000000003,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,False,False
115,Person search,2020-01-06T00:20:00+00:00,False,,51.763102,-0.44721700000000003,Female,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,False,False
116,Person search,2020-01-06T00:20:00+00:00,False,,51.763102,-0.44721700000000003,Female,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,False,False
117,Person and Vehicle search,2020-01-06T01:13:00+00:00,False,,51.655675,-0.27819,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
118,Person and Vehicle search,2020-01-06T02:25:00+00:00,False,,51.638292,-0.47521199999999997,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
119,Person search,2020-01-06T05:35:13+00:00,False,,51.651522,-0.490727,Male,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
120,Person search,2020-01-06T10:10:00+00:00,False,,51.750465999999996,-0.470366,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
121,Person search,2020-01-06T10:10:00+00:00,False,,51.750465999999996,-0.470366,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
122,Person search,2020-01-06T12:30:00+00:00,False,,51.906531,-0.207004,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,True
123,Person search,2020-01-06T13:40:00+00:00,False,,51.626704,-0.395822,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True
124,Person search,2020-01-06T15:00:00+00:00,False,,51.926196999999995,-0.184186,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
125,Person and Vehicle search,2020-01-06T16:20:00+00:00,False,,51.856097999999996,0.13531300000000002,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
126,Person search,2020-01-06T18:03:00+00:00,False,,51.683343,-0.019704,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
127,Person and Vehicle search,2020-01-06T18:15:00+00:00,False,,51.718853,-0.034107,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
128,Person and Vehicle search,2020-01-06T23:45:00+00:00,False,,51.814334,-0.334634,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
129,Person and Vehicle search,2020-01-06T23:45:00+00:00,False,,51.814334,-0.334634,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
130,Person and Vehicle search,2020-01-06T23:45:00+00:00,False,,51.814334,-0.334634,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
131,Person and Vehicle search,2020-01-06T23:45:00+00:00,False,,51.814334,-0.334634,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
132,Person search,2020-01-07T00:50:00+00:00,False,,51.682629999999996,-0.020617,Male,18-24,Other ethnic group - Any other ethnic group,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
133,Vehicle search,2020-01-07T00:50:00+00:00,False,,51.682629999999996,-0.020617,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
